user_id,signup_date,user_type,age_group,country,verification_status,account_balance,total_lifetime_transactions,total_lifetime_value,last_active_date
USER_000001,2024-02-27,Consumer,45-54,Canada,Verified,32.93,4,246.11,2024-07-08 02:16:06
USER_000002,2024-01-13,Premium,25-34,Canada,Verified,3.82,6,1089.11,2024-10-11 16:25:18
USER_000003,2024-05-20,Consumer,18-24,UK,Unverified,45.52,6,6543.38,2024-10-14 18:32:39
USER_000004,2024-05-05,Consumer,35-44,UK,Unverified,13.86,14,3186.81,2024-10-25 06:29:22
USER_000005,2024-04-24,Consumer,25-34,UK,Unverified,20.44,8,1331.13,2024-09-12 12:09:14
USER_000006,2024-03-12,Consumer,35-44,Germany,Pending,14.71,9,877.57,2024-10-13 10:03:32
USER_000007,2024-02-22,Consumer,18-24,India,Pending,248.79,9,730.79,2024-10-22 21:43:28
USER_000008,2024-10-06,Business,35-44,Australia,Verified,50.1,3,425.74,2024-05-09 01:45:33
USER_000009,2024-02-14,Consumer,25-34,USA,Verified,34.87,5,763.71,2024-07-27 11:20:25
USER_000010,2024-08-04,Consumer,25-34,Canada,Verified,58.73,14,1019.17,2024-10-10 19:17:37
USER_000011,2024-01-17,Consumer,55+,USA,Verified,24.6,18,2300.72,2024-10-11 06:41:39
USER_000012,2024-01-16,Premium,25-34,India,Verified,11.02,7,404.82,2024-09-11 06:25:30
USER_000013,2024-02-17,Business,35-44,USA,Unverified,43.43,6,727.94,2024-10-17 19:51:30
USER_000014,2024-04-21,Consumer,35-44,UK,Verified,7.84,8,537.82,2024-09-17 10:39:35
USER_000015,2024-04-29,Consumer,18-24,USA,Pending,101.33,10,580.69,2024-10-19 11:29:50
USER_000016,2024-09-15,Consumer,35-44,Germany,Verified,101.07,10,1575.36,2024-10-22 20:14:28
USER_000017,2024-01-14,Consumer,25-34,Canada,Unverified,8.11,9,2072.42,2024-09-17 16:37:28
USER_000018,2024-10-14,Consumer,35-44,UK,Verified,9.35,6,401.79,2024-09-27 12:54:53
USER_000019,2024-04-11,Consumer,35-44,Canada,Verified,24.72,6,530.8,2024-07-27 14:50:22
USER_000020,2024-10-06,Consumer,25-34,USA,Verified,540.68,7,1647.47,2024-10-20 21:16:40
USER_000021,2024-08-02,Consumer,25-34,Australia,Verified,50.32,10,898.69,2024-10-26 19:17:59
USER_000022,2024-04-22,Consumer,35-44,USA,Unverified,109.69,14,1417.0,2024-10-26 18:42:14
USER_000023,2024-08-17,Consumer,35-44,Germany,Verified,1.53,14,1071.81,2024-10-24 11:12:52
USER_000024,2024-05-22,Consumer,35-44,Brazil,Verified,13.89,10,987.88,2024-10-18 14:32:39
USER_000025,2024-01-04,Consumer,18-24,USA,Verified,77.12,12,1857.14,2024-09-02 12:17:54
USER_000026,2024-03-22,Business,35-44,UK,Verified,391.51,9,613.71,2024-08-16 18:08:34
USER_000027,2024-08-04,Consumer,25-34,USA,Verified,424.75,10,2717.89,2024-10-06 17:36:43
USER_000028,2024-06-23,Consumer,35-44,Brazil,Unverified,97.68,7,391.28,2024-10-15 16:45:33
USER_000029,2024-05-22,Consumer,18-24,UK,Pending,553.34,9,778.65,2024-10-12 14:49:23
USER_000030,2024-03-20,Consumer,25-34,USA,Pending,1030.47,9,932.63,2024-09-10 13:11:54
USER_000031,2024-04-20,Consumer,35-44,Germany,Unverified,46.28,9,597.25,2024-10-17 21:04:35
USER_000032,2024-06-21,Consumer,25-34,Canada,Unverified,168.12,6,428.08,2024-06-24 20:00:26
