State,City,Total_Orders,Total_Revenue,Unique_Customers
AC,brasileia,1,139.53,1
AC,cruzeiro do sul,3,1127.06,3
AC,epitaciolandia,1,139.52,1
AC,manoel urbano,1,248.71,1
AC,porto acre,1,104.35,1
AC,rio branco,69,16834.1,69
AC,senador guiomard,2,547.09,2
AC,xapuri,2,445.89,2
AL,agua branca,1,132.1,1
AL,anadia,2,462.59999999999997,2
AL,arapiraca,29,10150.03,29
AL,atalaia,1,137.65,1
AL,barra de santo antonio,2,629.12,2
AL,barra de sao miguel,2,226.64,2
AL,batalha,3,308.09999999999997,3
AL,belem,2,527.74,2
AL,boca da mata,2,298.03,2
AL,cajueiro,1,138.15,1
AL,campo alegre,2,997.96,2
AL,canapi,1,377.32,1
AL,coite do noia,1,111.01,1
AL,colonia leopoldina,2,531.85,2
AL,coruripe,3,1359.09,3
AL,delmiro gouveia,4,1353.71,4
AL,dois riachos,1,152.25,1
AL,feliz deserto,2,423.75,2
AL,girau do ponciano,1,74.05,1
AL,ibateguara,2,152.86,2
AL,igaci,2,395.0,2
AL,igreja nova,2,315.90999999999997,2
AL,inhapi,2,1075.1,2
AL,jequia da praia,2,351.24,2
AL,junqueiro,2,464.40999999999997,2
AL,lagoa da canoa,1,204.53,1
AL,luziapolis,1,181.62,1
AL,maceio,236,51644.96,236
AL,mar vermelho,2,689.02,2
AL,maragogi,5,2135.53,5
AL,maravilha,2,297.54,2
AL,marechal deodoro,1,379.2,1
AL,maribondo,1,100.97,1
AL,mata grande,2,469.34999999999997,2
AL,matriz de camaragibe,1,84.9,1
AL,monteiropolis,1,203.43,1
AL,murici,1,84.05,1
AL,novo lino,1,114.26,1
AL,olho d'agua das flores,3,346.07,3
AL,palmeira dos indios,8,1463.46,8
AL,paripueira,1,379.2,1
AL,passo de camaragibe,1,110.28,1
AL,paulo jacinto,2,475.58000000000004,2
AL,penedo,8,1592.67,8
AL,piacabucu,2,320.4,2
AL,pilar,3,168.36,3
AL,pindoba,2,542.52,2
AL,porto calvo,2,397.93,2
AL,porto de pedras,1,200.35,1
AL,rio largo,6,693.04,6
AL,santa luzia do norte,1,44.95,1
AL,santana do ipanema,1,285.45,1
AL,santana do mundau,3,1268.01,3
AL,sao bras,1,54.74,1
AL,sao jose da laje,2,296.36,2
AL,sao jose da tapera,1,144.47,1
AL,sao luis do quitunde,2,351.54999999999995,2
AL,sao miguel dos campos,2,1054.11,2
AL,sao sebastiao,1,2269.98,1
AL,satuba,2,438.32,2
AL,tanque d'arca,2,611.54,2
AL,taquarana,1,190.43,1
