account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,subscription_count,latest_mrr,latest_arr,had_upgrade,had_downgrade,billing_frequency,auto_renew,distinct_features_used,total_usage_count,avg_usage_duration_secs,total_errors,beta_feature_events,total_tickets,avg_satisfaction,avg_resolution_hours,avg_first_response_min,critical_tickets,escalations,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,tenure_months,has_satisfaction_data,churn_label,churn_numeric,mrr_per_seat,critical_ticket_ratio,error_rate,beta_adoption_ratio,tickets_per_month,features_per_month,is_enterprise,is_us,has_support_interaction,engagement_score
A-ce550d,Company_4,HealthTech,US,2024-10-27 00:00:00,event,Enterprise,35,False,True,9,21691,260292,1,0,monthly,1,32,4053,3720.33,217,28,7,2.71,42.29,107.86,232,58,2024-12-28,budget,0.0,True,False,False,too expensive,2,1,Churned,1,619.74,33.1429,0.0535,0.0069,3.5,16.0,1,1,1,0.7353
A-977ca0,Company_232,HealthTech,IN,2023-02-20 00:00:00,partner,Basic,6,False,True,16,18109,217308,1,0,monthly,1,38,2679,2857.18,138,39,3,1.33,64.0,123.0,170,0,,,0.0,,,,,36,1,Churned,1,3018.17,56.6667,0.0515,0.0146,0.0833,1.0556,0,0,1,0.6155
A-4814a3,Company_337,Cybersecurity,IN,2024-09-17 00:00:00,event,Basic,87,False,True,11,17313,207756,1,1,monthly,1,35,2348,2812.78,180,28,4,1.0,18.75,97.0,120,60,2024-11-25,pricing,0.0,False,False,False,too expensive,2,1,Churned,1,199.0,30.0,0.0767,0.0119,2.0,17.5,0,0,1,0.5593
A-30b4ca,Company_23,EdTech,IN,2024-05-20 00:00:00,organic,Basic,86,False,True,8,17114,205368,0,0,monthly,1,28,1206,3034.12,66,30,3,1.33,57.67,108.33,0,0,2024-09-01,features,0.0,False,False,False,,3,1,Churned,1,199.0,0.0,0.0547,0.0249,1.0,9.3333,0,0,1,0.4486
A-ff79f2,Company_165,DevTools,US,2024-04-25 00:00:00,ads,Basic,8,False,True,9,16517,198204,1,0,monthly,1,24,786,3264.59,24,8,2,0.0,50.0,82.5,0,0,,,0.0,,,,,22,0,Churned,1,2064.62,0.0,0.0305,0.0102,0.0909,1.0909,0,1,1,0.4113
A-902ef7,Company_270,HealthTech,US,2024-09-03 00:00:00,other,Enterprise,83,False,True,8,16517,198204,1,0,monthly,1,31,828,3646.95,48,10,2,2.0,48.5,85.0,80,0,2024-09-26,pricing,0.0,False,False,False,too expensive,0,1,Churned,1,199.0,40.0,0.058,0.0121,2.0,31.0,1,1,1,0.5369
A-4e44e8,Company_22,DevTools,US,2024-08-20 00:00:00,ads,Enterprise,3,False,True,14,15522,186264,1,0,monthly,1,32,2061,3020.1,111,24,3,3.33,31.33,76.67,69,0,2024-10-11,budget,0.0,False,False,True,switched to competitor,1,1,Churned,1,5174.0,23.0,0.0539,0.0116,3.0,32.0,1,1,1,0.5372
A-4e44e8,Company_22,DevTools,US,2024-08-20 00:00:00,ads,Enterprise,3,False,True,14,15522,186264,1,0,monthly,1,32,2061,3020.1,111,24,3,3.33,31.33,76.67,69,0,2024-08-25,features,35.48,True,False,False,too expensive,0,1,Churned,1,5174.0,23.0,0.0539,0.0116,3.0,32.0,1,1,1,0.5372
A-712f1c,Company_331,DevTools,US,2023-12-16 00:00:00,ads,Basic,17,False,True,12,14925,179100,1,0,monthly,1,32,3786,2666.21,204,30,6,2.67,41.67,88.83,204,0,2024-10-24,budget,68.99,False,False,False,,10,1,Churned,1,877.94,34.0,0.0539,0.0079,0.6,3.2,0,1,1,0.5883
A-4e960a,Company_277,FinTech,US,2024-01-17 00:00:00,other,Enterprise,12,True,True,12,14129,169548,0,1,monthly,1,29,3072,3141.69,126,30,6,2.0,29.17,83.17,147,0,,,0.0,,,,,25,1,Churned,1,1177.42,24.5,0.041,0.0098,0.24,1.16,1,1,1,0.5761
