Features_per_month,importance
error_rate,0.060560492
avg_usage_duration_secs,0.053380516
avg_resolution_hours,0.053225523
critical_ticket_ratio,0.052638451
beta_adoption_ratio,0.049226994
avg_first_response_min,0.048671252
critical_tickets,0.046613225
features_per_month,0.040111643
latest_mrr,0.039004679
latest_arr,0.038202008
total_errors,0.036373678
total_usage_count,0.036070644
seats,0.035569522
avg_satisfaction,0.035523052
engagement_score,0.034271763
mrr_per_seat,0.033449516
tickets_per_month,0.03058825
beta_feature_events,0.029830586
distinct_features_used,0.027187412
subscription_count,0.025931753
tenure_months,0.022816624
total_tickets,0.016816896
referral_source_event,0.016791207
escalations,0.015630433
referral_source_partner,0.012351725
industry_DevTools,0.011708473
had_upgrade,0.009990003
referral_source_organic,0.009686418
had_downgrade,0.008971971
is_enterprise,0.007355364
plan_tier_Enterprise,0.006797035
country_DE,0.006489932
plan_tier_Pro,0.00583503
referral_source_other,0.005423319
is_trial_True,0.005228464
is_us,0.005116228
industry_EdTech,0.004820985
country_US,0.004707539
industry_HealthTech,0.003957162
industry_FinTech,0.003883522
country_IN,0.00242817
country_UK,0.002196902
country_FR,0.001793102
has_satisfaction_data,0.001636934
country_CA,0.001084111
has_support_interaction,5.15E-05
auto_renew,0
billing_frequency_monthly,0
