transaction_id,is_fraud,risk_score,fraud_type,detection_method,amount_blocked
TXN_00000043,True,78.2,Friendly Fraud,ML Model,61.86
TXN_00000087,True,76.8,Synthetic Identity,Rule-Based,898.04
TXN_00000145,True,80.0,Account Takeover,ML Model,579.19
TXN_00000158,True,67.1,Card Testing,Manual Review,50.5
TXN_00000183,True,82.8,Card Testing,ML Model,38.3
TXN_00000386,True,72.6,Stolen Card,ML Model,98.63
TXN_00000393,True,89.9,Synthetic Identity,Rule-Based,339.07
TXN_00000457,True,73.5,Card Testing,Rule-Based,37.05
TXN_00000691,True,81.3,Account Takeover,ML Model,1957.93
TXN_00000787,True,73.3,Account Takeover,ML Model,211.49
TXN_00001247,True,85.6,Synthetic Identity,ML Model,907.99
TXN_00001379,True,86.2,Synthetic Identity,Rule-Based,645.37
TXN_00001403,True,94.7,Stolen Card,ML Model,66.36
TXN_00001468,True,86.0,Synthetic Identity,ML Model,884.28
TXN_00001677,True,86.6,Stolen Card,ML Model,233.39
TXN_00001776,True,79.2,Card Testing,Manual Review,579.75
TXN_00001777,True,94.8,Stolen Card,ML Model,241.08
TXN_00001992,True,74.2,Card Testing,ML Model,218.25
TXN_00002036,True,80.9,Synthetic Identity,ML Model,113.46
TXN_00002042,True,66.1,Stolen Card,ML Model,16.02
TXN_00002218,True,73.8,Synthetic Identity,ML Model,167.81
TXN_00002249,True,65.0,Card Testing,ML Model,20.3
TXN_00002313,True,91.1,Account Takeover,ML Model,570.47
TXN_00002437,True,69.7,Account Takeover,ML Model,129.89
TXN_00002548,True,70.5,Stolen Card,ML Model,476.62
TXN_00002590,True,64.4,Friendly Fraud,ML Model,95.24
TXN_00002686,True,79.5,Card Testing,Rule-Based,116.0
TXN_00002717,True,82.7,Synthetic Identity,ML Model,225.85
TXN_00002774,True,78.1,Friendly Fraud,Not Detected,0.0
TXN_00002898,True,63.8,Stolen Card,Manual Review,65.35
TXN_00002981,True,71.3,Account Takeover,ML Model,105.26
TXN_00003130,True,73.8,Card Testing,ML Model,273.12
TXN_00003190,True,72.7,Stolen Card,ML Model,163.92
TXN_00003222,True,66.2,Friendly Fraud,ML Model,37.93
TXN_00003601,True,89.5,Stolen Card,Not Detected,0.0
TXN_00003659,True,83.7,Friendly Fraud,ML Model,1137.0
TXN_00003931,True,85.9,Friendly Fraud,ML Model,358.46
TXN_00004082,True,61.4,Synthetic Identity,ML Model,16.4
TXN_00004511,True,69.0,Friendly Fraud,ML Model,3101.0
TXN_00004628,True,79.9,Synthetic Identity,Manual Review,347.56
TXN_00004664,True,87.4,Synthetic Identity,Rule-Based,388.88
TXN_00004704,True,73.9,Friendly Fraud,ML Model,91.29
TXN_00004880,True,83.5,Card Testing,ML Model,743.99
TXN_00004924,True,92.5,Account Takeover,ML Model,236.09
TXN_00005283,True,79.2,Account Takeover,ML Model,13300.08
TXN_00005336,True,65.6,Stolen Card,Rule-Based,156.92
TXN_00005611,True,63.5,Synthetic Identity,ML Model,255.78
TXN_00005692,True,76.0,Stolen Card,Rule-Based,44.83
TXN_00005719,True,63.1,Stolen Card,ML Model,143.93
TXN_00005737,True,76.3,Friendly Fraud,ML Model,117.99
TXN_00006028,True,87.0,Account Takeover,ML Model,336.26
TXN_00006100,True,76.5,Stolen Card,ML Model,66.69
TXN_00006110,True,79.0,Card Testing,ML Model,424.95
TXN_00006139,True,81.2,Account Takeover,ML Model,116.4
TXN_00006184,True,83.2,Synthetic Identity,Rule-Based,103.87
TXN_00006301,True,66.3,Friendly Fraud,ML Model,231.8
TXN_00006385,True,94.9,Friendly Fraud,ML Model,1724.64
TXN_00006401,True,74.3,Friendly Fraud,Rule-Based,47.08
TXN_00006477,True,68.0,Card Testing,ML Model,378.2
TXN_00006564,True,94.9,Stolen Card,ML Model,13.39
TXN_00006588,True,61.6,Friendly Fraud,Not Detected,0.0
TXN_00006615,True,85.3,Friendly Fraud,ML Model,40.96
TXN_00006692,True,89.7,Synthetic Identity,Manual Review,209.71
TXN_00006812,True,66.0,Friendly Fraud,ML Model,49.01
TXN_00006923,True,86.8,Synthetic Identity,ML Model,186.8
TXN_00006955,True,83.0,Synthetic Identity,ML Model,64.43
TXN_00007047,True,80.8,Card Testing,Manual Review,199.73
TXN_00007102,True,86.5,Account Takeover,ML Model,685.56
TXN_00007256,True,65.0,Account Takeover,Rule-Based,34.87
TXN_00007375,True,71.9,Synthetic Identity,ML Model,1803.91
TXN_00007442,True,79.6,Card Testing,ML Model,89.11
TXN_00007443,True,77.4,Friendly Fraud,ML Model,74.49
TXN_00007465,True,82.0,Card Testing,ML Model,328.32
TXN_00007495,True,88.5,Synthetic Identity,ML Model,232.65
TXN_00007875,True,89.7,Stolen Card,Manual Review,133.57
TXN_00007944,True,93.7,Synthetic Identity,ML Model,100.85
TXN_00007965,True,69.9,Stolen Card,ML Model,95.39
TXN_00008220,True,91.7,Card Testing,ML Model,82.51
TXN_00008277,True,92.4,Friendly Fraud,Not Detected,0.0
TXN_00008319,True,83.9,Card Testing,Manual Review,208.62
TXN_00008433,True,73.4,Friendly Fraud,Rule-Based,33.6
TXN_00008452,True,64.5,Stolen Card,ML Model,167.73
TXN_00008473,True,85.5,Stolen Card,Not Detected,0.0
TXN_00008750,True,88.8,Friendly Fraud,ML Model,32.74
TXN_00008795,True,60.3,Account Takeover,ML Model,79.26
TXN_00009011,True,74.1,Account Takeover,Rule-Based,100.04
