merchant_id,merchant_name,category,country,signup_date,transaction_volume_tier
MERCH_00001,Merchant_1,Digital Services,Canada,2024-09-17,Large
MERCH_00002,Merchant_2,Healthcare,Singapore,2024-05-26,Medium
MERCH_00003,Merchant_3,Retail,Australia,2024-05-27,Large
MERCH_00004,Merchant_4,Healthcare,USA,2024-08-21,Small
MERCH_00005,Merchant_5,Digital Services,Australia,2024-01-04,Large
MERCH_00006,Merchant_6,Entertainment,UK,2024-05-26,Small
MERCH_00007,Merchant_7,Entertainment,Canada,2024-03-01,Small
MERCH_00008,Merchant_8,Transportation,Canada,2024-06-08,Medium
MERCH_00009,Merchant_9,Food & Dining,France,2024-07-09,Small
MERCH_00010,Merchant_10,Entertainment,UK,2024-01-19,Small
MERCH_00011,Merchant_11,Food & Dining,USA,2024-06-17,Small
MERCH_00012,Merchant_12,Healthcare,Germany,2024-07-16,Small
MERCH_00013,Merchant_13,Transportation,UK,2024-04-18,Medium
MERCH_00014,Merchant_14,Utilities,Canada,2024-04-10,Small
MERCH_00015,Merchant_15,Travel,Canada,2024-09-03,Medium
MERCH_00016,Merchant_16,Digital Services,Germany,2024-01-21,Medium
MERCH_00017,Merchant_17,Healthcare,UK,2024-08-06,Small
MERCH_00018,Merchant_18,Entertainment,Germany,2024-06-20,Small
MERCH_00019,Merchant_19,Travel,USA,2024-02-24,Enterprise
MERCH_00020,Merchant_20,Digital Services,USA,2024-02-03,Medium
MERCH_00021,Merchant_21,Utilities,USA,2024-09-24,Large
MERCH_00022,Merchant_22,E-commerce,USA,2024-02-23,Small
MERCH_00023,Merchant_23,Retail,USA,2024-07-20,Medium
MERCH_00024,Merchant_24,Food & Dining,Germany,2024-03-02,Medium
MERCH_00025,Merchant_25,E-commerce,India,2024-04-11,Enterprise
MERCH_00026,Merchant_26,Retail,UAE,2024-09-30,Small
MERCH_00027,Merchant_27,Food & Dining,Germany,2024-08-13,Medium
MERCH_00028,Merchant_28,Healthcare,UK,2024-07-05,Medium
MERCH_00029,Merchant_29,Utilities,India,2024-06-27,Large
MERCH_00030,Merchant_30,Travel,UK,2024-06-15,Medium
MERCH_00031,Merchant_31,Transportation,USA,2024-10-15,Small
MERCH_00032,Merchant_32,Retail,Canada,2024-05-23,Large
MERCH_00033,Merchant_33,Travel,USA,2024-03-24,Small
MERCH_00034,Merchant_34,Entertainment,USA,2024-04-01,Large
MERCH_00035,Merchant_35,Travel,Germany,2024-10-21,Medium
MERCH_00036,Merchant_36,Healthcare,UK,2024-09-25,Small
MERCH_00037,Merchant_37,Travel,Canada,2024-02-22,Small
MERCH_00038,Merchant_38,Travel,India,2024-04-07,Enterprise
MERCH_00039,Merchant_39,Healthcare,UK,2024-05-06,Medium
MERCH_00040,Merchant_40,Digital Services,USA,2024-03-18,Medium
MERCH_00041,Merchant_41,Education,Brazil,2024-05-27,Large
MERCH_00042,Merchant_42,Healthcare,Canada,2024-02-09,Small
MERCH_00043,Merchant_43,Entertainment,India,2024-08-23,Small
MERCH_00044,Merchant_44,Digital Services,USA,2024-08-24,Medium
MERCH_00045,Merchant_45,Transportation,Canada,2024-02-14,Medium
MERCH_00046,Merchant_46,Healthcare,Australia,2024-02-11,Enterprise
MERCH_00047,Merchant_47,Utilities,USA,2024-09-23,Small
MERCH_00048,Merchant_48,Retail,Germany,2024-01-03,Large
MERCH_00049,Merchant_49,Food & Dining,Germany,2024-02-25,Medium
MERCH_00050,Merchant_50,Transportation,Canada,2024-07-12,Large
MERCH_00051,Merchant_51,E-commerce,USA,2024-08-14,Large
MERCH_00052,Merchant_52,Education,India,2024-08-23,Large
MERCH_00053,Merchant_53,Transportation,India,2024-05-30,Small
MERCH_00054,Merchant_54,Retail,Canada,2024-04-09,Medium
MERCH_00055,Merchant_55,Entertainment,France,2024-07-13,Medium
MERCH_00056,Merchant_56,Healthcare,Canada,2024-01-27,Small
MERCH_00057,Merchant_57,Healthcare,USA,2024-05-15,Medium
MERCH_00058,Merchant_58,Retail,USA,2024-10-06,Small
MERCH_00059,Merchant_59,Healthcare,UK,2024-01-02,Small
MERCH_00060,Merchant_60,Healthcare,Canada,2024-09-23,Small
MERCH_00061,Merchant_61,Digital Services,Germany,2024-06-18,Enterprise
MERCH_00062,Merchant_62,Retail,UK,2024-03-20,Medium
MERCH_00063,Merchant_63,Education,Germany,2024-08-12,Small
MERCH_00064,Merchant_64,Healthcare,USA,2024-02-20,Small
MERCH_00065,Merchant_65,Retail,UK,2024-05-12,Small
MERCH_00066,Merchant_66,Healthcare,USA,2024-04-24,Small
MERCH_00067,Merchant_67,Healthcare,Australia,2024-07-31,Small
MERCH_00068,Merchant_68,Food & Dining,UK,2024-10-20,Medium
MERCH_00069,Merchant_69,Food & Dining,France,2024-05-18,Small
MERCH_00070,Merchant_70,Utilities,UK,2024-08-28,Enterprise
MERCH_00071,Merchant_71,Travel,UK,2024-05-09,Small
MERCH_00072,Merchant_72,Travel,USA,2024-04-15,Small
MERCH_00073,Merchant_73,Healthcare,USA,2024-06-05,Medium
MERCH_00074,Merchant_74,Digital Services,UK,2024-09-02,Small
MERCH_00075,Merchant_75,Digital Services,USA,2024-07-18,Large
MERCH_00076,Merchant_76,Entertainment,USA,2024-09-21,Small
MERCH_00077,Merchant_77,Transportation,France,2024-09-30,Large
MERCH_00078,Merchant_78,Healthcare,Canada,2024-10-25,Large
MERCH_00079,Merchant_79,E-commerce,UK,2024-04-18,Small
MERCH_00080,Merchant_80,E-commerce,USA,2024-09-15,Medium
MERCH_00081,Merchant_81,Utilities,India,2024-08-01,Small
MERCH_00082,Merchant_82,Healthcare,USA,2024-02-11,Large
MERCH_00083,Merchant_83,Entertainment,USA,2024-07-19,Small
MERCH_00084,Merchant_84,Entertainment,India,2024-02-16,Medium
MERCH_00085,Merchant_85,Entertainment,USA,2024-09-26,Medium
MERCH_00086,Merchant_86,Travel,USA,2024-09-03,Medium
MERCH_00087,Merchant_87,Food & Dining,UK,2024-08-23,Large
MERCH_00088,Merchant_88,Healthcare,USA,2024-07-15,Small
MERCH_00089,Merchant_89,Utilities,UK,2024-06-06,Small
MERCH_00090,Merchant_90,E-commerce,USA,2024-06-10,Small
MERCH_00091,Merchant_91,Travel,USA,2024-09-25,Small
MERCH_00092,Merchant_92,E-commerce,USA,2024-01-29,Small
MERCH_00093,Merchant_93,Entertainment,UK,2024-10-03,Small
MERCH_00094,Merchant_94,Education,Canada,2024-05-29,Small
MERCH_00095,Merchant_95,Food & Dining,France,2024-04-06,Medium
MERCH_00096,Merchant_96,Healthcare,France,2024-02-11,Small
MERCH_00097,Merchant_97,Utilities,Singapore,2024-07-31,Medium
MERCH_00098,Merchant_98,Digital Services,UK,2024-06-11,Medium
MERCH_00099,Merchant_99,Transportation,USA,2024-03-24,Large
MERCH_00100,Merchant_100,Transportation,Germany,2024-02-04,Medium
MERCH_00101,Merchant_101,Travel,USA,2024-08-16,Medium
MERCH_00102,Merchant_102,Food & Dining,UK,2024-10-15,Medium
MERCH_00103,Merchant_103,Education,Brazil,2024-01-19,Small
MERCH_00104,Merchant_104,Utilities,Brazil,2024-01-15,Medium
MERCH_00105,Merchant_105,Retail,USA,2024-06-13,Small
MERCH_00106,Merchant_106,Education,Germany,2024-04-09,Small
MERCH_00107,Merchant_107,Travel,Australia,2024-02-03,Medium
MERCH_00108,Merchant_108,Healthcare,Brazil,2024-03-09,Medium
MERCH_00109,Merchant_109,Utilities,Canada,2024-08-02,Small
MERCH_00110,Merchant_110,Entertainment,Germany,2024-01-11,Small
MERCH_00111,Merchant_111,Healthcare,USA,2024-07-08,Small
MERCH_00112,Merchant_112,Digital Services,USA,2024-06-12,Large
MERCH_00113,Merchant_113,Education,USA,2024-09-07,Small
MERCH_00114,Merchant_114,Healthcare,UK,2024-06-02,Small
MERCH_00115,Merchant_115,Retail,India,2024-02-01,Small
MERCH_00116,Merchant_116,Entertainment,USA,2024-03-12,Small
MERCH_00117,Merchant_117,Education,UK,2024-09-29,Enterprise
MERCH_00118,Merchant_118,Entertainment,Germany,2024-06-03,Medium
MERCH_00119,Merchant_119,Travel,Australia,2024-06-21,Medium
MERCH_00120,Merchant_120,Transportation,Australia,2024-07-07,Large
MERCH_00121,Merchant_121,Transportation,USA,2024-10-02,Medium
MERCH_00122,Merchant_122,Travel,Singapore,2024-08-14,Small
MERCH_00123,Merchant_123,Utilities,France,2024-08-04,Small
MERCH_00124,Merchant_124,Healthcare,Brazil,2024-10-20,Small
MERCH_00125,Merchant_125,Transportation,USA,2024-06-13,Medium
MERCH_00126,Merchant_126,Entertainment,USA,2024-07-10,Medium
MERCH_00127,Merchant_127,Travel,Brazil,2024-10-16,Small
MERCH_00128,Merchant_128,Travel,UK,2024-02-18,Large
MERCH_00129,Merchant_129,Healthcare,Germany,2024-03-28,Medium
MERCH_00130,Merchant_130,Entertainment,France,2024-07-31,Enterprise
MERCH_00131,Merchant_131,Healthcare,USA,2024-09-21,Small
MERCH_00132,Merchant_132,Utilities,USA,2024-02-16,Small
MERCH_00133,Merchant_133,Digital Services,UAE,2024-04-26,Small
MERCH_00134,Merchant_134,Food & Dining,Singapore,2024-01-18,Medium
MERCH_00135,Merchant_135,Healthcare,India,2024-09-10,Small
MERCH_00136,Merchant_136,Digital Services,USA,2024-09-22,Medium
MERCH_00137,Merchant_137,Entertainment,USA,2024-05-03,Medium
MERCH_00138,Merchant_138,Food & Dining,Canada,2024-08-18,Medium
MERCH_00139,Merchant_139,Entertainment,USA,2024-04-17,Medium
MERCH_00140,Merchant_140,E-commerce,UK,2024-02-25,Large
MERCH_00141,Merchant_141,Food & Dining,UK,2024-09-23,Medium
MERCH_00142,Merchant_142,Entertainment,USA,2024-05-03,Small
MERCH_00143,Merchant_143,Food & Dining,Australia,2024-06-27,Small
MERCH_00144,Merchant_144,Entertainment,Germany,2024-10-24,Small
MERCH_00145,Merchant_145,Utilities,USA,2024-06-06,Small
MERCH_00146,Merchant_146,Entertainment,USA,2024-02-25,Enterprise
MERCH_00147,Merchant_147,Entertainment,USA,2024-03-28,Medium
MERCH_00148,Merchant_148,Utilities,USA,2024-04-30,Small
MERCH_00149,Merchant_149,Entertainment,USA,2024-05-13,Small
MERCH_00150,Merchant_150,Entertainment,India,2024-06-16,Large
MERCH_00151,Merchant_151,Retail,Brazil,2024-10-25,Large
MERCH_00152,Merchant_152,Digital Services,USA,2024-03-29,Medium
MERCH_00153,Merchant_153,Utilities,Germany,2024-04-13,Small
MERCH_00154,Merchant_154,Healthcare,Canada,2024-03-31,Small
MERCH_00155,Merchant_155,Digital Services,USA,2024-07-08,Small
MERCH_00156,Merchant_156,Utilities,Brazil,2024-09-21,Small
MERCH_00157,Merchant_157,Digital Services,Canada,2024-01-29,Medium
MERCH_00158,Merchant_158,Retail,Australia,2024-04-02,Large
MERCH_00159,Merchant_159,Travel,USA,2024-05-27,Small
MERCH_00160,Merchant_160,Education,Canada,2024-06-26,Small
MERCH_00161,Merchant_161,Retail,Germany,2024-06-12,Medium
MERCH_00162,Merchant_162,Transportation,UAE,2024-09-12,Medium
MERCH_00163,Merchant_163,Education,UK,2024-02-09,Small
MERCH_00164,Merchant_164,Utilities,USA,2024-02-22,Medium
MERCH_00165,Merchant_165,Education,Brazil,2024-07-15,Large
MERCH_00166,Merchant_166,Retail,Canada,2024-04-01,Small
MERCH_00167,Merchant_167,Digital Services,Brazil,2024-08-26,Large
MERCH_00168,Merchant_168,Transportation,France,2024-05-18,Medium
MERCH_00169,Merchant_169,Retail,Germany,2024-04-16,Small
MERCH_00170,Merchant_170,Healthcare,India,2024-06-19,Large
MERCH_00171,Merchant_171,Digital Services,India,2024-02-22,Small
MERCH_00172,Merchant_172,Healthcare,USA,2024-05-24,Small
MERCH_00173,Merchant_173,Education,USA,2024-03-05,Medium
MERCH_00174,Merchant_174,Travel,Brazil,2024-09-20,Large
MERCH_00175,Merchant_175,Transportation,India,2024-07-29,Small
MERCH_00176,Merchant_176,Transportation,Germany,2024-04-12,Small
MERCH_00177,Merchant_177,Education,France,2024-03-09,Small
MERCH_00178,Merchant_178,Travel,UK,2024-09-10,Enterprise
MERCH_00179,Merchant_179,Retail,USA,2024-01-29,Small
MERCH_00180,Merchant_180,Education,USA,2024-03-19,Medium
MERCH_00181,Merchant_181,E-commerce,USA,2024-04-15,Medium
MERCH_00182,Merchant_182,Digital Services,USA,2024-02-21,Small
MERCH_00183,Merchant_183,Transportation,Australia,2024-08-25,Small
MERCH_00184,Merchant_184,Healthcare,Germany,2024-05-11,Small
MERCH_00185,Merchant_185,Digital Services,France,2024-01-18,Large
MERCH_00186,Merchant_186,Travel,USA,2024-03-07,Small
MERCH_00187,Merchant_187,Digital Services,Germany,2024-09-25,Small
MERCH_00188,Merchant_188,Digital Services,USA,2024-02-08,Small
MERCH_00189,Merchant_189,Healthcare,UK,2024-01-23,Medium
MERCH_00190,Merchant_190,Entertainment,Germany,2024-07-13,Small
MERCH_00191,Merchant_191,Travel,Australia,2024-01-02,Small
MERCH_00192,Merchant_192,Entertainment,USA,2024-09-05,Small
MERCH_00193,Merchant_193,Travel,USA,2024-07-17,Small
MERCH_00194,Merchant_194,Food & Dining,UAE,2024-04-28,Small
MERCH_00195,Merchant_195,Education,Germany,2024-05-31,Large
MERCH_00196,Merchant_196,Utilities,Canada,2024-05-20,Medium
MERCH_00197,Merchant_197,Entertainment,India,2024-04-16,Enterprise
MERCH_00198,Merchant_198,Entertainment,USA,2024-04-16,Medium
MERCH_00199,Merchant_199,Travel,Canada,2024-05-23,Large
MERCH_00200,Merchant_200,Transportation,France,2024-07-31,Medium
MERCH_00201,Merchant_201,Retail,USA,2024-01-02,Small
MERCH_00202,Merchant_202,Travel,USA,2024-04-02,Large
MERCH_00203,Merchant_203,Utilities,USA,2024-07-11,Small
MERCH_00204,Merchant_204,Travel,USA,2024-04-16,Large
MERCH_00205,Merchant_205,Food & Dining,Canada,2024-05-05,Medium
MERCH_00206,Merchant_206,Digital Services,Canada,2024-07-06,Small
MERCH_00207,Merchant_207,Transportation,Brazil,2024-07-22,Large
MERCH_00208,Merchant_208,Travel,Brazil,2024-05-22,Small
MERCH_00209,Merchant_209,Utilities,Germany,2024-02-07,Small
MERCH_00210,Merchant_210,Travel,USA,2024-07-25,Enterprise
MERCH_00211,Merchant_211,E-commerce,USA,2024-04-01,Medium
MERCH_00212,Merchant_212,Transportation,UK,2024-10-07,Small
MERCH_00213,Merchant_213,Travel,UK,2024-09-10,Small
MERCH_00214,Merchant_214,Retail,India,2024-01-20,Medium
MERCH_00215,Merchant_215,Food & Dining,France,2024-03-28,Small
MERCH_00216,Merchant_216,Entertainment,UK,2024-06-18,Small
MERCH_00217,Merchant_217,Travel,USA,2024-03-18,Large
